# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
14054.6 0.17070 0.17792 0.18489
14098.0 0.17111 0.17830 0.18529
14141.3 0.16817 0.17554 0.18335
14184.6 0.16856 0.17591 0.18372
14227.9 0.16400 0.17114 0.17872
14271.3 0.16435 0.17149 0.17907
14314.6 0.16983 0.17676 0.18416
14357.9 0.17023 0.17714 0.18452
14401.2 0.16601 0.17437 0.18183
14444.6 0.16640 0.17473 0.18220
14487.9 0.16919 0.17689 0.18464
14531.2 0.15245 0.15933 0.16623
14574.5 0.15661 0.16296 0.16937
14617.9 0.15697 0.16329 0.16970
14661.2 0.15800 0.16446 0.17060
14704.5 0.15834 0.16479 0.17091
14747.8 0.15253 0.15870 0.16467
14791.2 0.15284 0.15900 0.16497
14834.5 0.15125 0.15723 0.16334
14877.8 0.15158 0.15756 0.16365
14921.1 0.14827 0.15451 0.16088
14964.5 0.14858 0.15482 0.16116
15007.8 0.14657 0.15231 0.15827
15051.1 0.14686 0.15260 0.15857
15094.4 0.14747 0.15339 0.15922
15137.8 0.14776 0.15368 0.15950
15181.1 0.13904 0.14442 0.15006
15224.4 0.13931 0.14469 0.15032
15267.7 0.13859 0.14398 0.14950
15311.1 0.13886 0.14424 0.14978
15354.4 0.14931 0.15523 0.16096
15397.7 0.14962 0.15553 0.16126
15441.0 0.13371 0.13881 0.14387
15484.4 0.13397 0.13908 0.14412
15527.7 0.13145 0.13646 0.14157
15571.0 0.13170 0.13671 0.14180
15614.3 0.12935 0.13426 0.13907
15657.7 0.12959 0.13451 0.13930
15701.0 0.13244 0.13728 0.14231
15744.3 0.13268 0.13752 0.14257
15787.6 0.13279 0.13779 0.14266
15831.0 0.13304 0.13803 0.14291
15874.3 0.12781 0.13252 0.13757
15917.6 0.12804 0.13275 0.13779
15960.9 0.12656 0.13132 0.13608
16004.3 0.12680 0.13156 0.13630
16047.6 0.13090 0.13564 0.14071
16090.9 0.13115 0.13588 0.14093
16134.2 0.13479 0.13970 0.14450
16177.6 0.13504 0.13993 0.14472
16220.9 0.13323 0.13993 0.14520
16264.2 0.13348 0.14018 0.14543
16307.5 0.15642 0.16521 0.17235
16350.9 0.15671 0.16549 0.17262
16394.2 0.16510 0.17862 0.18746
16437.5 0.16540 0.17892 0.18776
16480.8 0.15894 0.17379 0.18237
16524.2 0.15923 0.17409 0.18266
16567.5 0.16152 0.17486 0.18349
16610.8 0.16181 0.17515 0.18378
16654.1 0.14866 0.15839 0.16547
16697.5 0.14892 0.15865 0.16572
16740.8 0.12850 0.13541 0.14068
16784.1 0.12874 0.13563 0.14090
16827.4 0.11701 0.12155 0.12588
16870.8 0.11721 0.12175 0.12607
16914.1 0.11987 0.12415 0.12819
16957.4 0.12007 0.12434 0.12838
17000.7 0.10584 0.10958 0.11326
17044.1 0.10603 0.10977 0.11343
17087.4 0.10527 0.10905 0.11236
17130.7 0.10546 0.10922 0.11253
17174.0 0.10755 0.11113 0.11480
17217.4 0.10774 0.11130 0.11498
17260.7 0.10453 0.10809 0.11149
17304.0 0.10471 0.10826 0.11166
17347.3 0.10659 0.11017 0.11361
17390.7 0.10677 0.11034 0.11377
17434.0 0.10060 0.10423 0.10739
17477.3 0.10078 0.10440 0.10756
17520.6 0.09897 0.10246 0.10559
17564.0 0.09914 0.10261 0.10574
17607.3 0.10701 0.11055 0.11410
17650.6 0.10720 0.11072 0.11427
17693.9 0.10006 0.10335 0.10677
17737.3 0.10022 0.10351 0.10692
17780.6 0.09943 0.10267 0.10577
17823.9 0.09960 0.10282 0.10593
17867.2 0.09490 0.09806 0.10117
17910.6 0.09505 0.09822 0.10132
17953.9 0.09525 0.09852 0.10142
17997.2 0.10131 0.10460 0.10773
18040.5 0.10299 0.10640 0.10972
18083.9 0.10316 0.10656 0.10988
18127.2 0.09644 0.09954 0.10273
18170.5 0.09659 0.09968 0.10287
18213.8 0.09324 0.09637 0.09916
18257.2 0.09339 0.09651 0.09930
18300.5 0.09701 0.10002 0.10317
18343.8 0.09718 0.10017 0.10330
18387.1 0.09060 0.09370 0.09636
18430.5 0.09074 0.09384 0.09650
18473.8 0.09085 0.09390 0.09660
18517.1 0.09100 0.09405 0.09673
18560.4 0.08953 0.09262 0.09522
18603.8 0.08967 0.09275 0.09536
18647.1 0.08782 0.09078 0.09332
18690.4 0.08796 0.09091 0.09345
18733.7 0.08721 0.09015 0.09267
18777.1 0.08734 0.09028 0.09280
18820.4 0.08624 0.08914 0.09161
18863.7 0.08637 0.08927 0.09174
18907.0 0.08561 0.08847 0.09087
18950.4 0.08574 0.08859 0.09100
18993.7 0.08390 0.08666 0.08904
19037.0 0.08403 0.08679 0.08916
19080.3 0.08344 0.08620 0.08855
19123.7 0.08356 0.08632 0.08867
19167.0 0.08325 0.08598 0.08832
19210.3 0.08337 0.08611 0.08845
19253.6 0.08299 0.08572 0.08803
19297.0 0.08311 0.08584 0.08816
19340.3 0.08109 0.08373 0.08597
19383.6 0.08121 0.08385 0.08609
19426.9 0.08102 0.08366 0.08590
19470.3 0.08113 0.08378 0.08602
19513.6 0.08068 0.08329 0.08554
19556.9 0.08080 0.08341 0.08566
19600.2 0.07972 0.08228 0.08447
19643.6 0.07984 0.08241 0.08459
19686.9 0.07903 0.08157 0.08371
19730.2 0.07915 0.08168 0.08383
19773.5 0.07948 0.08196 0.08415
19816.9 0.07959 0.08208 0.08426
19860.2 0.08246 0.08498 0.08726
19903.5 0.08257 0.08510 0.08736
19946.8 0.08683 0.08939 0.09178
19990.2 0.08695 0.08952 0.09189
20033.5 0.09157 0.09424 0.09672
20076.8 0.09171 0.09437 0.09684
20120.1 0.09668 0.09959 0.10241
20163.5 0.09683 0.09974 0.10254
20206.8 0.09175 0.09440 0.09689
20250.1 0.09189 0.09453 0.09702
20293.4 0.08686 0.08931 0.09162
20336.8 0.08699 0.08943 0.09175
20380.1 0.08037 0.08275 0.08490
20423.4 0.08048 0.08287 0.08500
20466.7 0.07712 0.07942 0.08151
20510.1 0.07723 0.07953 0.08162
20553.4 0.07439 0.07661 0.07859
20596.7 0.07450 0.07671 0.07868
20640.0 0.07399 0.07616 0.07813
20683.4 0.07411 0.07627 0.07823
20726.7 0.07239 0.07454 0.07636
20770.0 0.07250 0.07465 0.07645
20813.3 0.07237 0.07448 0.07636
20856.7 0.07248 0.07458 0.07645
20900.0 0.07163 0.07374 0.07555
20943.3 0.07174 0.07384 0.07564
20986.6 0.07081 0.07293 0.07468
21030.0 0.07092 0.07304 0.07477
21073.3 0.07156 0.07362 0.07544
21116.6 0.07165 0.07371 0.07553
21159.9 0.07154 0.07360 0.07539
21203.3 0.07164 0.07370 0.07548
21246.6 0.07297 0.07503 0.07687
21289.9 0.07307 0.07513 0.07696
21333.2 0.07373 0.07584 0.07769
21376.6 0.07384 0.07594 0.07778
21419.9 0.07379 0.07589 0.07775
21463.2 0.07389 0.07599 0.07784
21506.5 0.07153 0.07354 0.07528
21549.9 0.07163 0.07363 0.07537
21593.2 0.06985 0.07179 0.07349
21636.5 0.06994 0.07189 0.07357
21679.8 0.06730 0.06922 0.07087
21723.2 0.06739 0.06931 0.07096
21766.5 0.06731 0.06923 0.07081
21809.8 0.06630 0.06818 0.06975
21853.1 0.06650 0.06837 0.06987
21896.5 0.06660 0.06846 0.06995
21939.8 0.06591 0.06775 0.06926
21983.1 0.06600 0.06785 0.06935
22026.4 0.06576 0.06759 0.06907
22069.8 0.06586 0.06767 0.06915
22113.1 0.06482 0.06662 0.06816
22156.4 0.06491 0.06671 0.06824
22199.7 0.06460 0.06639 0.06789
22243.1 0.06470 0.06647 0.06797
22286.4 0.06356 0.06529 0.06680
22329.7 0.06366 0.06536 0.06688
22373.0 0.06335 0.06503 0.06653
22416.4 0.06344 0.06511 0.06660
22459.7 0.06305 0.06472 0.06618
22503.0 0.06314 0.06480 0.06627
22546.3 0.06320 0.06483 0.06630
22589.7 0.06328 0.06491 0.06638
22633.0 0.06251 0.06418 0.06562
22676.3 0.06260 0.06426 0.06570
22719.6 0.06302 0.06458 0.06604
22763.0 0.06311 0.06466 0.06613
22806.3 0.06500 0.06659 0.06811
22849.6 0.06508 0.06668 0.06819
22892.9 0.06714 0.06897 0.07054
22936.3 0.06724 0.06905 0.07062
22979.6 0.07003 0.07193 0.07357
23022.9 0.07012 0.07201 0.07366
23066.2 0.07149 0.07345 0.07514
23109.6 0.07159 0.07354 0.07522
23152.9 0.06929 0.07118 0.07275
23196.2 0.06938 0.07127 0.07284
23239.5 0.06596 0.06769 0.06916
23282.9 0.06604 0.06777 0.06924
23326.2 0.06279 0.06427 0.06565
23369.5 0.06287 0.06435 0.06572
23412.8 0.06010 0.06156 0.06293
23456.2 0.06018 0.06164 0.06300
23499.5 0.05915 0.06059 0.06190
23542.8 0.05922 0.06066 0.06197
23586.1 0.05846 0.05988 0.06117
23629.5 0.05854 0.05995 0.06124
23672.8 0.05784 0.05924 0.06053
23716.1 0.05792 0.05932 0.06060
23759.4 0.05939 0.06082 0.06206
23802.8 0.05947 0.06089 0.06213
23846.1 0.06110 0.06255 0.06385
23889.4 0.06118 0.06263 0.06392
23932.7 0.06514 0.06660 0.06791
23976.1 0.06523 0.06667 0.06799
24019.4 0.07196 0.07343 0.07495
24062.7 0.07206 0.07352 0.07504
24106.0 0.08023 0.08184 0.08347
24149.4 0.08034 0.08194 0.08356
24192.7 0.08630 0.08822 0.08989
24236.0 0.08641 0.08833 0.09000
24279.3 0.08462 0.08648 0.08808
24322.7 0.08472 0.08658 0.08819
24366.0 0.07718 0.07869 0.08025
24409.3 0.07728 0.07878 0.08034
24452.6 0.06856 0.06989 0.07128
24496.0 0.06865 0.06997 0.07137
24539.3 0.06213 0.06345 0.06469
24582.6 0.06221 0.06353 0.06476
24625.9 0.05856 0.05978 0.06095
24669.3 0.05863 0.05985 0.06101
24712.6 0.05677 0.05798 0.05908
